GO:0000160	P
GO:0000270	P
GO:0000271	P
GO:0000272	P
GO:0009106	P
GO:0000746	P
GO:0001906	P
GO:0001907	P
GO:0005975	P
GO:0005976	P
GO:0006040	P
GO:0006086	P
GO:0006091	P
GO:0006094	P
GO:0006096	P
GO:0006098	P
GO:0006099	P
GO:0006113	P
GO:0055114	P
GO:0006139	P
GO:0006163	P
GO:0006220	P
GO:0006259	P
GO:0006260	P
GO:0006276	P
GO:0006281	P
GO:0006308	P
GO:0006310	P
GO:0006351	P
GO:0006396	P
GO:0006401	P
GO:0006412	P
GO:0006417	P
GO:0006457	P
GO:0006464	P
GO:0006520	P
GO:0006595	P
GO:0006596	P
GO:0006598	P
GO:0006631	P
GO:0006633	P
GO:0006644	P
GO:0006730	P
GO:0006747	P
GO:0006749	P
GO:0006750	P
GO:0006751	P
GO:0006760	P
GO:0006768	P
GO:0006771	P
GO:0006772	P
GO:0006778	P
GO:0006779	P
GO:0006783	P
GO:0006787	P
GO:0006790	P
GO:0006793	P
GO:0006807	P
GO:0006810	P
GO:0006811	P
GO:0006812	P
GO:0006820	P
GO:0006862	P
GO:0006865	P
GO:0006928	P
GO:0006935	P
GO:0006950	P
GO:0007155	P
GO:0007165	P
GO:0008150	P
GO:0008152	P
GO:0008643	P
GO:0008652	P
GO:0008653	P
GO:0008654	P
GO:0009060	P
GO:0009061	P
GO:0009062	P
GO:0009063	P
GO:0009067	P
GO:0009070	P
GO:0009073	P
GO:0009076	P
GO:0009079	P
GO:0009084	P
GO:0009102	P
GO:0009103	P
GO:0009104	P
GO:0009107	P
GO:0009225	P
GO:0009228	P
GO:0009230	P
GO:0009231	P
GO:0009232	P
GO:0009237	P
GO:0009252	P
GO:0009253	P
GO:0009255	P
GO:0009294	P
GO:0009306	P
GO:0009307	P
GO:0009308	P
GO:0009309	P
GO:0009310	P
GO:0009395	P
GO:0009396	P
GO:0009397	P
GO:0009398	P
GO:0009399	P
GO:0009401	P
GO:0009403	P
GO:0009404	P
GO:0009405	P
GO:0009407	P
GO:0009451	P
GO:0009636	P
GO:0009847	P
GO:0015833	P
GO:0015837	P
GO:0015849	P
GO:0015850	P
GO:0015851	P
GO:0015858	P
GO:0015891	P
GO:0015931	P
GO:0015936	P
GO:0015937	P
GO:0015938	P
GO:0015939	P
GO:0015940	P
GO:0015941	P
GO:0015948	P
GO:0015949	P
GO:0015975	P
GO:0015979	P
GO:0015980	P
GO:0015986	P
GO:0015994	P
GO:0015995	P
GO:0015996	P
GO:0016051	P
GO:0075713	P
GO:0019290	P
GO:0019362	P
GO:0019363	P
GO:0019364	P
GO:0019538	P
GO:0030030	P
GO:0019042	P
GO:0030091	P
GO:0030163	P
GO:0030436	P
GO:0030493	P
GO:0030494	P
GO:0030495	P
GO:0030541	P
GO:0031323	P
GO:0031640	P
GO:0032196	P
GO:0032323	P
GO:0032324	P
GO:0032325	P
GO:0032361	P
GO:0032362	P
GO:0032363	P
GO:0042167	P
GO:0042168	P
GO:0042254	P
GO:0042367	P
GO:1901661	P
GO:1901662	P
GO:0042710	P
GO:0042822	P
GO:0042823	P
GO:0043039	P
GO:0043094	P
GO:0043173	P
GO:0043174	P
GO:0043545	P
GO:0044262	P
GO:0044275	P
GO:0044403	P
GO:1901663	P
GO:0006355	P
GO:0046215	P
GO:0046443	P
GO:0046444	P
GO:0046931	P
GO:0050657	P
GO:0050794	P
GO:0050821	P
GO:0050896	P
GO:0051049	P
GO:0051186	P
GO:0051187	P
GO:0051188	P
GO:0051189	P
GO:0051190	P
GO:0051191	P
GO:0051276	P
GO:0051301	P
GO:0051704	P
